,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Volume Ratio,Look into
25,garden tub,14,14,14800,83.7,0.69,https://bestbath.com/products/tubs/garden-tubs/,103,0.48,71,1.0,394000000,"[100,82,82,82,82,67,82,67,82,100,100,100]",1562812371,5.308084068574708,True
38,shower base with seat,11,11,1600,72.73,0.75,https://bestbath.com/products/showers/pans/,75,0.35,56,1.0,73200000,"[100,67,54,67,67,67,79,67,42,67,67,79]",1560963337,0.5738469263324008,True
55,walk in tub,28,28,33100,79.46,14.43,https://bestbath.com/products/tubs/walk-in-tubs/,49,0.23,716,1.0,175000000,"[82,67,55,55,67,55,67,67,67,100,82,82]",1562802168,11.871458288501541,True
68,showers,29,29,27100,83.73,0.81,https://bestbath.com/products/showers/,40,0.18,32,1.0,2090000000,"[100,82,82,100,100,82,82,82,82,100,100,100]",1562805472,9.719532314755039,True
118,bathtub wall surround,12,12,1600,84.51,0.93,https://bestbath.com/products/tub-surrounds/,20,0.09,19,1.0,31400000,"[30,30,34,34,45,55,66,66,34,100,83,83]",1560963219,0.5738469263324008,True
139,custom shower pan,15,15,3600,59.63,1.17,https://bestbath.com/types-shower-pans/,18,0.08,21,1.0,28500000,"[54,44,44,54,54,54,54,54,67,100,81,81]",1562805730,1.2911555842479019,True
230,walk in shower with seat,19,19,3600,81.96,1.59,https://bestbath.com/,10,0.04,17,1.0,94700000,"[67,54,67,100,67,54,67,54,44,81,81,67]",1562805132,1.2911555842479019,True
265,shower grab bars,29,29,6600,77.86,1.47,https://bestbath.com/products/grab-bars/,9,0.04,14,1.0,43400000,"[67,82,82,67,67,67,67,67,55,82,82,100]",1562798898,2.3671185711211535,True
291,fiberglass shower pan,19,19,2400,85.83,0.98,https://bestbath.com/products/showers/pans/,7,0.03,7,1.0,3190000,"[83,66,66,66,83,83,66,66,66,100,83,83]",1560960020,0.8607703894986012,True
292,shower stalls with seat,20,20,2400,80.8,0.77,https://bestbath.com/,7,0.03,5,1.0,16700000,"[81,100,81,81,81,67,81,81,52,52,44,67]",1560959452,0.8607703894986012,True
339,shower base for tile,26,26,3600,79.49,1.29,https://bestbath.com/types-shower-pans/,5,0.02,6,1.0,95,"[67,54,54,54,54,44,54,54,67,81,81,100]",1562805732,1.2911555842479019,True
343,bathtub walls,18,18,1900,81.82,0.63,https://bestbath.com/products/tub-surrounds/,5,0.02,3,1.0,97900000,"[100,79,100,79,79,79,79,79,67,100,100,100]",1560961156,0.681443225019726,True
414,luxury bath,27,27,2900,61.79,2.94,https://bestbath.com/dealer/luxury-bath-systems/,4,0.01,12,1.0,495000000,"[66,66,55,66,66,66,66,66,66,100,82,82]",1562804650,1.0400975539774764,True
424,custom shower base,18,18,1600,62.49,1.28,https://bestbath.com/types-shower-pans/,4,0.01,6,1.0,83300000,"[100,84,84,84,84,84,84,68,68,100,84,84]",1560962754,0.5738469263324008,True
427,shower basin,19,19,1600,81.7,0.91,https://bestbath.com/types-shower-pans/,4,0.01,4,1.0,73700000,"[84,68,68,84,84,68,84,68,68,84,84,100]",1560962798,0.5738469263324008,True
502,foundation finance,20,20,5400,82.84,1.32,https://bestbath.com/dealer-login/foundation-finance-company/,3,0.01,4,0.2,1270000000,"[82,82,82,82,82,82,82,82,82,100,100,100]",1562810929,1.9367333763718526,True
539,weighted shower curtain,29,29,1900,80.15,0.37,https://bestbath.com/product/heavy-duty-vinyl-shower-curtain/,2,0.0,1,1.0,85,"[79,79,79,79,79,79,100,79,79,100,100,100]",1560962379,0.681443225019726,True
656,shower with seat,22,22,1900,82.0,0.72,https://bestbath.com/products/showers/showers-with-seats/,2,0.0,2,1.0,249000000,"[79,67,67,79,79,79,79,67,67,100,79,79]",1560962597,0.681443225019726,True
